Timestamp	Chalice Used	Additional Rites	Chalice Glyph	Layer 1 (Weapons)	Layer 2 (Weapons)	Layer 3 (Weapons)	Layer 4 (Weapons)	Layer 1 (Materials)	Layer 2 (Materials)	Layer 3 (Materials)	Layer 4 (Materials)	Additional Notes	Non-working Glyph	Working Glyph
4/7/2015 1:14:29	Ailing Loran Root	Fetid Offering, Rotted Offering	4292egu2	None / Unsure	None / Unsure	Uncanny Blade of Mercy	None / Unsure	Blood Rock		Blooming Coldblood Flower		Clawmark rune (Visceral +30%) in layer 2		
4/7/2015 4:35:55	Lower Pthumeru Root	None	45z79m4j	Uncanny Kirkhammer	None / Unsure	Lost Saw Cleaver	None / Unsure							
4/7/2015 6:38:21	Lower Ailing Loran Root	Curse	pzit7wds	Lost Beast Claw	Lost Tonitrus	None / Unsure	None / Unsure	Red Jelly, Bastard of Loran						
4/7/2015 14:25:25	Pthumeru Ihyll Root	None	kkzyw7ft	None / Unsure	Lost Burial Blade	Lost Reiterpallasch	None / Unsure			Red Jelly		Nothing of note from Level 1. Layer 2 Sub Area before boss contains the Lost Burial Blade. Layer 3 Sub Area before main dungeon contains Lost Reiterpallasch. Layer 3 Sub Area before boss contains the Communion Rune +5 to Blood Vials. Also left with some Sage's Hair, plenty of Tomb Mold and some Red Jelly.		
4/7/2015 18:57:39	Ailing Loran Root	None	bv5ddqt9	Lost Hunter Axe	Uncanny Tonitrus	Lost Beast Claw	Lost Riflespear				Blooming Coldblood Flower			
4/7/2015 21:15:29	Sinister Isz Root	None	gc2nhw6u	Lost Ludwig's Holy Blade	None / Unsure	None / Unsure	None / Unsure					Eye rune (level 3) in the first layer as well.  Ludwig's blade is in the first room door as soon as you start the dungeon.  The Eye rune is once you get into the actual first layer.   First bosses are the Watchmen.  Not too bad.  Haven't explored any other areas yet.  		
4/8/2015 0:43:24	Lower Pthumeru Root	Rotted Offering	6b7m8sym	Lost Saw Cleaver	Uncanny Riflespear	None / Unsure	None / Unsure	Sage's Wrist				Bloodletting Beast is the boss in layer three so be careful, not fully explored so there may be some additional surprises, hence why almost nothing was checked off.    		
4/8/2015 5:25:38	Sinister Lower Loran Root	Sinister Bell	v394hee6	Uncanny Burial Blade	None / Unsure	None / Unsure	None / Unsure		Bastard of Loran	Blooming Coldblood Flower, Sage's Hair, Bastard of Loran		Layer 1: Ritual Blood (5) x2, Uncanny Burial Blade, Boss: Blood-starved Beast  Layer 2: Ritual Blood (5) x8, Bastard of Loran x1, Fading Lake (3), Boss: Undead Giant  Layer 3: Sage's Hair x3, Blooming Coldblood Flower x22, Bastard of Loran x1, Anti-Clockwise Metamorphosis (3), Boss: Amygdala		
4/8/2015 6:45:50	Sinister Isz Root	Sinister Bell	4utqieu7	None / Unsure	Lost Ludwig's Holy Blade	None / Unsure	None / Unsure		Blood Rock	Pearl Slug, Yellow Backbone, Sage's Hair	Pearl Slug, Yellow Backbone, Bastard of Loran	Layer 1: Loot: Arcane Lake Rune (3)  Boss: Maneater Boar  Layer 2: Materials: Ritual Blood (5) x5, Yellow Backbone x1, Pearl Slug x2, Sage's Hair x2 Loot: Ludwig's Lost Holy Blade, Blood Rock Boss: Keeper of the Old Lords  Layer 3:  Materials: Ritual Blood (5) x2, Tomb Mold (5) x14, Pearl Slug x10, Yellow Backbone x3, Bastard of Loran x1 Loot: Kin Coldblood (12) x2, Eye Rune (3), Great Deep Sea Rune (3) Boss: Amygdala		
4/8/2015 9:36:17	Sinister Pthumeru Ihyll Root	Sinister Bell	yif7detn	None / Unsure	Lost Saw Spear	None / Unsure	None / Unsure	Inflicted Organ, Sage's Wrist	Sage's Wrist			Chest on layer 3 blocks pathway at one point, just charge attack it to break it and kill that annoying bellmaiden.		
4/8/2015 14:47:24	Central Pethumeru Root	Fetid Offering	y5xqxmy3	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Post-area of layer 3 contains a coffin chest with a droplet shaped Tempering Blood Gemstone(3) - physical attack up +13.5% fits any gem slot.		
4/8/2015 22:57:08	Isz Root	Fetid Offering, Rotted Offering	cxdqve9s	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock	Pearl Slug, Sage's Hair	Pearl Slug		Blood rock is in the first door after chamber of the seal. There's a ruin for 300 frenzy resist in layer 2, and another ruin for 150 resistance in all categories.		
4/9/2015 2:04:56	Pthumeru Root	None	8963az5k	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Coldblood Flowerbud, Bloodshot Eyeball						
4/9/2015 13:58:38	Ailing Loran Root	None	g3wwmhyh	None / Unsure	Beast Claw	None / Unsure	None / Unsure	Coldblood Flowerbud, Sage's Wrist, Sage's Hair, Blood Stone Chunk				beast claws in treasure before layer two lamp		
4/9/2015 22:48:27	Pthumeru Ihyll Root	Rotted Offering	22aa4wfv	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Blood Rock				Layer 2: Heir 3, side room after the locked door. Layer 3: 15% HP rune, side room before main labyrinth 		
4/10/2015 2:05:41	Sinister Pthumeru Ihyll Root	Sinister Bell	9ydgqzy2	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Blood Rock			Lake rune (7%) on floor 3.		
4/10/2015 14:00:47	Pthumeru Ihyll Root	None	qcwkk72n	None / Unsure	None / Unsure	None / Unsure	None / Unsure					It's not a root.. I'm sharing this cuz I need help in boss 2		
4/10/2015 15:28:29	Cursed and Defiled Root	None	aqqcv6vi	None / Unsure	None / Unsure	None / Unsure	None / Unsure	Sage's Hair						
4/10/2015 17:23:42	Lower Ailing Loran Root	Rotted Offering	2ufsqve2	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Beast Rune +100 Trans is in the first layer in the side room after pulling the lever		
4/10/2015 17:26:27	Central Pethumeru Root	Fetid Offering	fednzws6	Uncanny Saw Spear	None / Unsure	None / Unsure	None / Unsure		Arcane Haze			Fairly easy, nice items. Treasure door before second boss contains Tempering blood gemstone (3) droplet type.		
4/10/2015 17:41:22	Isz Root	Fetid Offering, Rotted Offering, Curse	ukw8bk83	Lost Threaded Cane	None / Unsure	None / Unsure	None / Unsure	Blood Rock		Bastard of Loran		Layer 2 contains Great Deep Sea rune and Arcane Lake rune.		
4/10/2015 19:36:33	Lower Pthumeru Root	Fetid Offering	xamn5v5q	Lost Saw Cleaver	None / Unsure	None / Unsure	None / Unsure	Sage's Wrist				Grat for farming ritual blood, 2 sackguys at the entrances of layer one, another two at the door before the lamp of second floor. Great one coldblood and big amount of items for rituals, among them like 12 tomb(3) mold in a secret room just in frobt of the lamp of the 3rd floor. There was a bunch of things I now dont remember. Easy bosses (watchers, pig and keeper of the old lords. 4th boss is the big dog) also there is a formless oedon Please check it out, you wont regret it		
4/11/2015 2:08:05	Isz Root	Rotted Offering	fmu9qx9g	None / Unsure, Lost Beast Claw	None / Unsure	None / Unsure	None / Unsure	Arcane Haze	Arcane Haze	Arcane Haze	Arcane Haze			
4/11/2015 2:41:29	Lower Pthumeru Root	None	h434qsh7	Lost Saw Cleaver	None / Unsure	Uncanny Kirkhammer	None / Unsure							
4/11/2015 19:34:21	Cursed and Defiled Root	None	kxc8e3p5	None / Unsure	None / Unsure	None / Unsure	None / Unsure							
4/12/2015 1:31:42	Central Pethumeru Root	Fetid Offering	brutm4uf	Uncanny Threaded Cane	None / Unsure	None / Unsure	None / Unsure					Low level root with uncanny threaded cane in the first bonus area before layer 1 main area.  Good to get your feet wet.		
4/12/2015 6:02:55	Isz Root	Fetid Offering, Rotted Offering, Curse	gwsb3sxv	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Deep Sea Rune (+300 Frenzy Resist) in Layer 1. Great Deep Sea Rune (+150 All Resist) in Layer 3.  Also found Great One's Wisdom in Layer 3 which may or may not be a Blood Rock.		
4/12/2015 13:19:14	Cursed and Defiled Root	Fetid Offering, Rotted Offering, Curse	8ushe6kx	None / Unsure	Uncanny Logarius' Wheel	None / Unsure	None / Unsure					Blood Rapture Rune +250 in layer one. LOTS of hunters in this dungeon, and very unfriendly enemy layout in layer 3 with nothing really there. Amygdala is layer 3 boss, so fight only if you feel the need. No good loot in layer 3. 		
4/12/2015 18:07:41	Cursed and Defiled Root	Fetid Offering, Rotted Offering, Curse	vxtm2uu4	Uncanny Ludwig's Holy Blade	Uncanny Reiterpallasch	Uncanny Chikage	None / Unsure					Might've mixed up the order of the layers you get Ludwig's and the Reiterpallasch in, but they're in the first two layers for certain, with the Chikage in the last layer.		
4/13/2015 0:18:06	Isz Root	Rotted Offering	u97try9e	None / Unsure	Lost Ludwig's Holy Blade	None / Unsure	None / Unsure	Bloodshot Eyeball, Pearl Slug	Pearl Slug	Coldblood Flowerbud, Pearl Slug, Sage's Wrist, Bastard of Loran	Sage's Hair	Correct the previous entry for this one.  Lost Ludwigs on Layer two main area.  On the side-dungeon after layer two's boss, the main chest has a Great Deep Sea rune (all RES+150).  Third level alone has 15 pearl slugs and 4 Bastard of Loran.		
4/13/2015 0:59:20	Isz Root	Fetid Offering, Rotted Offering, Curse	eityvwrj	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Blood Rock	Pearl Slug		3 Layers, very easy bosses: Boss 1: Keeper of the Old Lords Boss 2: Undead Giant Boss 3: Amygdala		
4/13/2015 6:05:38	Ailing Loran Root	None	8ig6uznt	Uncanny Tonitrus	None / Unsure	Lost Hunter Axe	None / Unsure					1 boss Beast Possesed Soul 2 boss Loran Silver Beast 3 boss Abhorrent Beast		
4/13/2015 21:56:51	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	pmiqq34b	None / Unsure	None / Unsure	None / Unsure	None / Unsure		Red Jelly	Sage's Hair		Layer 1 has Top Tier Communion Rune (Max Vials +5)  Layer 3 has Top Tier Formless Oedon Rune (Max QS Bullets +5)		
4/14/2015 7:03:58	Pthumeru Ihyll Root	Fetid Offering, Rotted Offering, Curse	69zmjfm2	None / Unsure	Lost Logarius' Wheel	None / Unsure	None / Unsure					- Layer 1 (Bloodletting Beast): Lake Rune [Increases defense. Physical DMG reduction (+7%)] and Heir Rune [More Blood Echoes gained from visceral attacks (+60%)]  - Layer 2 (Beast-possessed Soul):  - Layer 3 (Headless Bloodletting Beast): Great One's Wisdom (Could be a Blood Rock or a rune I already had)		
4/14/2015 7:16:58	Lower Ailing Loran Root	Fetid Offering, Rotted Offering, Curse	6q77zr9h	None / Unsure	None / Unsure	None / Unsure	None / Unsure					Layer 1 (Blood-starved Beast): Clawmark Rune [Strengthens visceral attacks (+30%)]  Layer 2 (Loran Silverbeast): Farmable Hunter (Beast Claw) infront of boss door, commonly drops rank 17 and 18 waning blood gems (I had all three Eye Runes equipped.).  Layer 3 (Abhorrent Beast): Stunning Deep Sea Rune [Increases rapid poison resistance +300]		
